archetype,Windows,archetype|Area-House-m2,archetype|Area-Wall-m2,archetype|Area-Windows-m2,archetype|Floor-Area-m2,archetype|House-Volume-m3,archetype|Win-Area-m2-E,archetype|Win-Area-m2-N,archetype|Win-Area-m2-S,archetype|Win-Area-m2-W,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|Energy-CoolingGJ,output|Energy-HeatingGJ,output|Energy-Total-GJ,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|TotalAirConditioning-LoadGJ,OS-U-value,OS-SHGC,OS-Peak Heating Load (Mbtu),OS-Peak Cooling Load (Mbtu),OS-Heating Capacity (kBtu/h),OS-Cooling Capacity (ton),OS-Peak Heating Load (GJ),OS-Peak Cooling Load (GJ),OS-Heating Capacity (kW),OS-Cooling Capacity (kW)
pro-A-EW,base-window,436.27,204.488,35.38,304.4,820.1,13.7,0,2.7,19,67.7,2.6,2.6,67.7,129.4,4445.4,10964,7.8,1.72,0.26,13.68,1.97,24.64,1.02,14.4,2.1,7.2,3.6
pro-A-EW,NC-2g-HG-u1.82,436.27,204.488,35.38,304.4,820.1,13.7,0,2.7,19,63.9,2.9,3.8,63.9,128.1,6303.5,11264.2,13,1.82,0.5,13.24,3.7,24.98,1.7,14.0,3.9,7.3,6.0
pro-A-EW,NC-2g-MG-u1.65,436.27,204.488,35.38,304.4,820.1,13.7,0,2.7,19,69,2.6,2.5,69,130.4,4276.4,11023.7,7.4,1.65,0.26,13.55,1.99,24.4,1.02,14.3,2.1,7.2,3.6
pro-A-EW,NC-3g-MG-u1.36,436.27,204.488,35.38,304.4,820.1,13.7,0,2.7,19,65,2.6,2.5,65,126.4,4220.5,10613.4,7.4,1.14,0.17,12.84,1.46,22.58,0.77,13.5,1.5,6.6,2.7
pro-A-EW,NC-3g-LG-u1.14,436.27,204.488,35.38,304.4,820.1,13.7,0,2.7,19,65.3,2.3,2,65.3,125.5,3430.2,10302,5.3,1.08,0.26,12.46,2.19,22.35,1.03,13.1,2.3,6.6,3.6
pro-A-EW,NC-3g-MG-u1.08,436.27,204.488,35.38,304.4,820.1,13.7,0,2.7,19,61.2,2.6,2.5,61.2,122.9,4166.5,10217.2,7.5,1.36,0.26,12.99,2.11,23.38,1.03,13.7,2.2,6.9,3.6
pro-B-EW,base-window,436.27,216.244,23.624,304.4,820.1,2.7,0,18.3,2.7,61.4,2.4,2,61.4,121.6,2941.3,10318.4,5.6,1.72,0.26,12.89,1.42,22.82,0.93,13.6,1.5,6.7,3.3
pro-B-EW,NC-2g-HG-u1.82,436.27,216.244,23.624,304.4,820.1,2.7,0,18.3,2.7,56.2,2.6,2.5,56.2,117.7,3689.2,10511.4,7.7,1.82,0.5,12.54,2.51,23.05,1.54,13.2,2.6,6.8,5.4
pro-B-EW,NC-2g-MG-u1.65,436.27,216.244,23.624,304.4,820.1,2.7,0,18.3,2.7,62.5,2.4,2,62.5,122.6,2879.1,10350.8,5.4,1.65,0.26,12.81,1.44,22.66,0.93,13.5,1.5,6.6,3.3
pro-B-EW,NC-3g-MG-u1.36,436.27,216.244,23.624,304.4,820.1,2.7,0,18.3,2.7,59.8,2.4,2,59.8,119.9,2841.8,10076.8,5.4,1.14,0.17,12.35,1.1,21.43,0.7,13.0,1.2,6.3,2.5
pro-B-EW,NC-3g-LG-u1.14,436.27,216.244,23.624,304.4,820.1,2.7,0,18.3,2.7,61.3,2.2,1.7,61.3,120.7,2518,9869,4.2,1.08,0.26,12.07,1.55,21.28,0.94,12.7,1.6,6.2,3.3
pro-B-EW,NC-3g-MG-u1.08,436.27,216.244,23.624,304.4,820.1,2.7,0,18.3,2.7,57.2,2.4,2,57.2,117.2,2805.9,9812.3,5.4,1.36,0.26,12.43,1.51,21.97,0.94,13.1,1.6,6.4,3.3
pro-C-EW,base-window,436.27,186.427,53.441,304.4,820.1,20,0,4.1,29.3,72.6,2.6,3,72.6,135.6,5775.6,11954.6,9.2,1.72,0.26,14.77,2.77,27.42,1.44,15.6,2.9,8.0,5.1
pro-C-EW,NC-2g-HG-u1.82,436.27,186.427,53.441,304.4,820.1,20,0,4.1,29.3,69.1,3,4.8,69.1,134.3,8581.5,12419.4,17,1.82,0.5,14.12,5.3,27.93,2.48,14.9,5.6,8.2,8.7
pro-C-EW,NC-2g-MG-u1.65,436.27,186.427,53.441,304.4,820.1,20,0,4.1,29.3,74.6,2.6,2.8,74.6,137.2,5518.7,12056.1,8.3,1.65,0.26,14.57,2.81,27.06,1.45,15.4,3.0,7.9,5.1
pro-C-EW,NC-3g-MG-u1.36,436.27,186.427,53.441,304.4,820.1,20,0,4.1,29.3,68.7,2.6,2.7,68.7,131.2,5434.3,11436.4,8.2,1.14,0.17,13.51,2,24.33,1.05,14.3,2.1,7.1,3.7
pro-C-EW,NC-3g-LG-u1.14,436.27,186.427,53.441,304.4,820.1,20,0,4.1,29.3,68.6,2.4,2.3,68.6,129.8,4240.2,10966.2,6.3,1.08,0.26,12.93,3.11,23.99,1.46,13.6,3.3,7.0,5.1
pro-C-EW,NC-3g-MG-u1.08,436.27,186.427,53.441,304.4,820.1,20,0,4.1,29.3,62.9,2.6,2.7,62.9,125.4,5352.8,10838,8.2,1.36,0.26,13.73,3,25.53,1.47,14.5,3.2,7.5,5.2
pro-D-EW,base-window,436.27,173.064,66.804,304.4,820.1,24.9,0,5.2,36.7,76.6,2.7,3.2,76.6,140.4,6760.4,12685.9,10,1.72,0.26,15.59,3.31,29.44,1.74,16.4,3.5,8.6,6.1
pro-D-EW,NC-2g-HG-u1.82,436.27,173.064,66.804,304.4,820.1,24.9,0,5.2,36.7,73.6,3,5.5,73.6,139.5,10268.3,13272.6,20.1,1.82,0.5,14.84,6.36,30.07,3.02,15.7,6.7,8.8,10.6
pro-D-EW,NC-2g-MG-u1.65,436.27,173.064,66.804,304.4,820.1,24.9,0,5.2,36.7,79,2.6,3.1,79,142.5,6438.4,12818.4,9.5,1.65,0.26,15.35,3.36,28.99,1.75,16.2,3.5,8.5,6.2
pro-D-EW,NC-3g-MG-u1.36,436.27,173.064,66.804,304.4,820.1,24.9,0,5.2,36.7,71.6,2.6,3.1,71.6,135,6332.9,12043.8,9.5,1.14,0.17,14.02,2.38,25.6,1.26,14.8,2.5,7.5,4.4
pro-D-EW,NC-3g-LG-u1.14,436.27,173.064,66.804,304.4,820.1,24.9,0,5.2,36.7,71.2,2.5,2.5,71.2,133,4839.8,11455.9,7.1,1.08,0.26,13.32,3.75,25.19,1.77,14.1,4.0,7.4,6.2
pro-D-EW,NC-3g-MG-u1.08,436.27,173.064,66.804,304.4,820.1,24.9,0,5.2,36.7,64.5,2.6,3,64.5,127.9,6231,11295.7,9.4,1.36,0.26,14.32,3.6,27.1,1.77,15.1,3.8,7.9,6.2
pro-A-NS,base-window,436.27,204.488,35.38,304.4,820.1,2.7,13.7,19,0,65.9,2.4,2.1,65.9,126.1,3239.6,10964,5.6,1.72,0.26,13.16,1.14,24.64,0.55,13.9,1.2,7.2,1.9
pro-A-NS,NC-2g-HG-u1.82,436.27,204.488,35.38,304.4,820.1,2.7,13.7,19,0,60.9,2.7,2.7,60.9,122.6,4163.8,11264.2,8.7,1.82,0.5,12.32,2.02,24.98,0.79,13.0,2.1,7.3,2.8
pro-A-NS,NC-2g-MG-u1.65,436.27,204.488,35.38,304.4,820.1,2.7,13.7,19,0,67.4,2.4,2,67.4,127.5,3163.1,11023.7,5.4,1.65,0.26,13.03,1.16,24.39,0.55,13.7,1.2,7.1,1.9
pro-A-NS,NC-3g-MG-u1.36,436.27,204.488,35.38,304.4,820.1,2.7,13.7,19,0,63.4,2.4,2,63.4,123.4,3107.5,10613.4,5.4,1.14,0.17,12.48,0.92,22.57,0.45,13.2,1.0,6.6,1.6
pro-A-NS,NC-3g-LG-u1.14,436.27,204.488,35.38,304.4,820.1,2.7,13.7,19,0,64.4,2.2,1.8,64.4,123.9,2702.3,10302,4.4,1.08,0.26,11.94,1.3,22.35,0.55,12.6,1.4,6.6,1.9
pro-A-NS,NC-3g-MG-u1.08,436.27,204.488,35.38,304.4,820.1,2.7,13.7,19,0,59.5,2.4,2,59.5,119.7,3053.7,10217.2,5.4,1.36,0.26,12.47,1.25,23.37,0.56,13.2,1.3,6.8,2.0
pro-B-NS,base-window,436.27,216.244,23.624,304.4,820.1,2.7,2.7,18.3,0,61.8,2.4,2,61.8,121.8,2831.7,10318.4,5.4,1.72,0.26,12.33,0.93,22.79,0.45,13.0,1.0,6.7,1.6
pro-B-NS,NC-2g-HG-u1.82,436.27,216.244,23.624,304.4,820.1,2.7,2.7,18.3,0,56.7,2.6,2.4,56.7,117.6,3492.5,10511.4,7.4,1.82,0.5,11.52,1.51,23.01,0.59,12.2,1.6,6.7,2.1
pro-B-NS,NC-2g-MG-u1.65,436.27,216.244,23.624,304.4,820.1,2.7,2.7,18.3,0,62.9,2.4,1.9,62.9,122.8,2776.7,10350.8,5.3,1.65,0.26,12.24,0.29,22.63,0.45,12.9,0.3,6.6,1.6
pro-B-NS,NC-3g-MG-u1.36,436.27,216.244,23.624,304.4,820.1,2.7,2.7,18.3,0,60.2,2.4,1.9,60.2,120.1,2739.5,10076.8,5.2,1.14,0.17,11.97,0.79,21.41,0.39,12.6,0.8,6.3,1.4
pro-B-NS,NC-3g-LG-u1.14,436.27,216.244,23.624,304.4,820.1,2.7,2.7,18.3,0,61.5,2.2,1.7,61.5,120.9,2451,9869,4.2,1.08,0.26,11.5,1.03,21.27,0.42,12.1,1.1,6.2,1.5
pro-B-NS,NC-3g-MG-u1.08,436.27,216.244,23.624,304.4,820.1,2.7,2.7,18.3,0,57.6,2.4,1.9,57.6,117.5,2703.6,9812.3,5.2,1.36,0.26,11.86,1,21.95,0.45,12.5,1.1,6.4,1.6
pro-C-NS,base-window,436.27,186.427,53.441,304.4,820.1,4.1,20,29.3,0,69.9,2.5,2.3,69.9,131,3962,11954.6,6.7,1.72,0.26,14,1.5,27.41,0.69,14.8,1.6,8.0,2.4
pro-C-NS,NC-2g-HG-u1.82,436.27,186.427,53.441,304.4,820.1,4.1,20,29.3,0,64.6,2.8,3.3,64.6,127.8,5364.8,12419.4,11.1,1.82,0.5,12.94,2.83,27.91,1.06,13.7,3.0,8.2,3.7
pro-C-NS,NC-2g-MG-u1.65,436.27,186.427,53.441,304.4,820.1,4.1,20,29.3,0,72.1,2.5,2.3,72.1,133,3845.1,12056.1,6.5,1.65,0.26,13.81,1.53,27.05,0.7,14.6,1.6,7.9,2.5
pro-C-NS,NC-3g-MG-u1.36,436.27,186.427,53.441,304.4,820.1,4.1,20,29.3,0,66.1,2.5,2.3,66.1,127,3761.1,11436.4,6.4,1.14,0.17,12.98,1.16,24.32,0.55,13.7,1.2,7.1,1.9
pro-C-NS,NC-3g-LG-u1.14,436.27,186.427,53.441,304.4,820.1,4.1,20,29.3,0,66.9,2.2,1.8,66.9,126.8,3145.9,10966.2,4.5,1.08,0.26,12.18,1.75,23.99,0.71,12.9,1.8,7.0,2.5
pro-C-NS,NC-3g-MG-u1.08,436.27,186.427,53.441,304.4,820.1,4.1,20,29.3,0,60.4,2.5,2.2,60.4,121.2,3679.9,10838,6.3,1.36,0.26,12.98,1.67,25.52,0.72,13.7,1.8,7.5,2.5
pro-D-NS,base-window,436.27,173.064,66.804,304.4,820.1,5.2,24.9,36.7,0,73.2,2.6,2.6,73.2,134.9,4492.5,12685.9,7.6,1.72,0.26,14.65,1.74,29.42,0.8,15.5,1.8,8.6,2.8
pro-D-NS,NC-2g-HG-u1.82,436.27,173.064,66.804,304.4,820.1,5.2,24.9,36.7,0,68.8,2.9,3.8,68.8,131.9,6246.6,13272.6,13.1,1.82,0.5,13.53,3.34,30.05,1.25,14.3,3.5,8.8,4.4
pro-D-NS,NC-2g-MG-u1.65,436.27,173.064,66.804,304.4,820.1,5.2,24.9,36.7,0,75.9,2.5,2.5,75.9,137.4,4346,12818.4,7.3,1.65,0.26,14.41,1.78,28.97,0.8,15.2,1.9,8.5,2.8
pro-D-NS,NC-3g-MG-u1.36,436.27,173.064,66.804,304.4,820.1,5.2,24.9,36.7,0,68.5,2.5,2.5,68.5,129.9,4240.9,12043.8,7.3,1.14,0.17,13.36,1.32,25.6,0.62,14.1,1.4,7.5,2.2
pro-D-NS,NC-3g-LG-u1.14,436.27,173.064,66.804,304.4,820.1,5.2,24.9,36.7,0,69.1,2.3,2,69.1,129.5,3471.6,11455.9,5,1.08,0.26,12.41,2.07,25.18,0.82,13.1,2.2,7.4,2.9
pro-D-NS,NC-3g-MG-u1.08,436.27,173.064,66.804,304.4,820.1,5.2,24.9,36.7,0,61.4,2.5,2.4,61.4,122.8,4139.5,11295.7,7.2,1.36,0.26,13.39,1.96,27.08,0.83,14.1,2.1,7.9,2.9
ref-A,base-window,436.27,193.514,46.354,304.4,820.1,11.6,11.6,11.6,11.6,69.1,2.6,2.7,69.1,131.2,4899.8,11575.1,8.3,1.72,0.26,14.1,2.15,26.39,0.92,14.9,2.3,7.7,3.2
ref-B,base-window,436.27,193.514,46.354,304.4,820.1,11.6,11.6,11.6,11.6,69.1,2.6,2.7,69.1,131.2,4899.8,11575.1,8.3,1.72,0.26,14.1,2.15,26.39,0.92,14.9,2.3,7.7,3.2
ref-C,base-window,436.27,185.338,54.53,304.4,820.1,13.6,13.6,13.6,13.6,72.7,2.6,2.7,72.7,135,5152.3,12024,8.1,1.72,0.26,14.56,2.45,27.64,1.04,15.4,2.6,8.1,3.7
ref-D,base-window,436.27,179.868,60,304.4,820.1,15,15,15,15,72.6,2.6,3,72.6,135.6,5802.2,12324.3,9.1,1.72,0.26,14.86,2.66,28.48,1.12,15.7,2.8,8.3,3.9
